Cases,Time
1.0727939465853135e-06,10.591000000000001
1.0500793367418182e-06,10.592
1.03201401356666e-06,10.593
8.908645975907461e-07,10.594
8.719402406782681e-07,10.595
7.84039984977264e-07,10.596
8.020857598180028e-07,10.597
7.742052236101146e-07,10.598
7.923099490012266e-07,10.599
7.838053379498401e-07,10.6
7.391399025821903e-07,10.601
6.732197111067161e-07,10.602
6.565988252359827e-07,10.603
6.740734592941309e-07,10.604000000000001
6.721837063502966e-07,10.605
6.849001523208077e-07,10.606
7.136458832383105e-07,10.607000000000001
7.131332239964803e-07,10.608
6.798919869073518e-07,10.609
6.896302166763604e-07,10.61
7.304378571654094e-07,10.611
7.90334339970656e-07,10.612
8.137886022865235e-07,10.613
7.829846460783809e-07,10.614
7.475171164710635e-07,10.615
7.556956393832335e-07,10.616
7.60408388592383e-07,10.617
7.66021429024576e-07,10.618
7.786833467417515e-07,10.619
7.417483285349312e-07,10.620000000000001
7.690358041941563e-07,10.621
7.327446984412573e-07,10.622
7.20998789917381e-07,10.623000000000001
7.060697579648492e-07,10.624
7.308425637778259e-07,10.625
7.083176894454626e-07,10.626
7.451367951931618e-07,10.627
7.163001655857182e-07,10.628
8.034936205251043e-07,10.629
8.214655961230363e-07,10.63
8.221429408192747e-07,10.631
8.398498674688478e-07,10.632
8.010723286471188e-07,10.633000000000001
8.141525362922722e-07,10.634
8.173320005063636e-07,10.635
8.550909898860266e-07,10.636000000000001
8.136476542411327e-07,10.637
7.836942561569768e-07,10.638
7.79760184070499e-07,10.639
7.546009131062579e-07,10.64
7.560962712718193e-07,10.641
7.331083952293309e-07,10.642
6.686311555586285e-07,10.643
6.468383709327258e-07,10.644
6.406564219709015e-07,10.645
6.060272134488943e-07,10.646
5.996761208166961e-07,10.647
5.841043603271942e-07,10.648
5.737885367804816e-07,10.649000000000001
5.943326089809478e-07,10.65
5.869957858495617e-07,10.651
5.414377621842125e-07,10.652000000000001
5.369832112958106e-07,10.653
5.54788049612286e-07,10.654
5.340010171947352e-07,10.655
4.58015813572075e-07,10.656
4.64485184517749e-07,10.657
4.6623875548892246e-07,10.658
4.497000987537488e-07,10.659
4.149188147676794e-07,10.66
1.5996387382229377e-07,10.661
1.1865128082507237e-07,10.662
9.643799135877637e-08,10.663
8.448443921066343e-08,10.664
9.512136142360445e-08,10.665000000000001
6.406422730160237e-08,10.666
6.400654570331618e-08,10.667
7.200114180594014e-08,10.668000000000001
5.583230551162005e-08,10.669
8.676249635600075e-08,10.67
1.0862510816300125e-07,10.671
1.1154782441561353e-07,10.672
1.33125113407924e-07,10.673
1.3839647929757676e-07,10.674
1.1827010893184257e-07,10.675
1.270193830305849e-07,10.676
1.1936220218566258e-07,10.677
1.055626214167695e-07,10.678
1.1010808355169583e-07,10.679
1.266318642552475e-07,10.68
5.430484553820167e-08,10.681000000000001
6.124606344452339e-08,10.682
8.071635444136317e-08,10.683
9.396935870844578e-08,10.684000000000001
8.519773845140553e-08,10.685
1.0050545602841213e-07,10.686
1.241592992284951e-07,10.687
1.3583878962116428e-07,10.688
8.062722658868337e-08,10.689
6.195223330717599e-08,10.69
8.11395163477252e-08,10.691
5.8412381770531446e-08,10.692
6.042027316300435e-08,10.693
6.974598353869867e-08,10.694
3.2948484226946124e-07,10.695
3.7113825079767483e-07,10.696
3.8518193898111117e-07,10.697000000000001
3.528268904121232e-07,10.698
3.648277218549916e-07,10.699
3.671250400184553e-07,10.700000000000001
3.953299018547466e-07,10.701
4.565522554874745e-07,10.702
4.139405589431969e-07,10.703
4.490662592993909e-07,10.704
3.408341093778509e-07,10.705
3.3713760442533866e-07,10.706
3.344441626983623e-07,10.707
3.147195256500761e-07,10.708
2.7130918861156745e-07,10.709
2.4408968723867195e-07,10.71
2.6109676199091524e-07,10.711
2.584860928703727e-07,10.712
2.202355403674053e-07,10.713000000000001
2.026098572544044e-07,10.714
1.910201024891235e-07,10.715
1.5600539296013645e-07,10.716000000000001
1.7534118000777693e-07,10.717
1.5432341710006397e-07,10.718
1.5945602906209624e-07,10.719
8.576788556964376e-08,10.72
4.8135794047468887e-08,10.721
5.6446348332644946e-08,10.722
7.228818087528566e-08,10.723
3.521543152109272e-08,10.724
3.828613232805395e-08,10.725
2.3339308582637225e-08,10.726
3.5552342079535364e-08,10.727
3.3105625473691074e-08,10.728
0.0,10.729000000000001
5.88897921320657e-08,10.73
3.1260956882801696e-08,10.731
8.657985650024927e-08,10.732000000000001
8.306863810860713e-08,10.733
7.427835855043213e-08,10.734
3.2093066718637525e-08,10.735
3.634468177288085e-08,10.736
3.264707412798148e-08,10.737
6.314226992126165e-08,10.738
5.556830580350103e-08,10.739
6.541691045128888e-08,10.74
9.12111099672269e-08,10.741
8.187604889689314e-08,10.742
7.275175160039573e-08,10.743
6.041354249251038e-08,10.744
6.610629966845975e-08,10.745000000000001
5.34475399638325e-08,10.746
5.42266691044203e-07,10.747
5.52222313886917e-07,10.748000000000001
6.108318629344109e-07,10.749
5.987527820166047e-07,10.75
4.589664135331844e-07,10.751
4.583481029994616e-07,10.752
4.750346258187662e-07,10.753
5.290584710111937e-07,10.754
5.251463636306536e-07,10.755
5.073348964606899e-07,10.756
5.03102407451786e-07,10.757
4.94952792223656e-07,10.758000000000001
4.1070019268369604e-07,10.759
4.3860857493610026e-07,10.76
4.273025805148229e-07,10.761000000000001
4.529572473954301e-07,10.762
7.122897733113144e-07,10.763
7.107821775568898e-07,10.764
6.861380505314836e-07,10.765
7.482278062163988e-07,10.766
7.122940934472302e-07,10.767
8.870621196479317e-07,10.768
8.792881643814035e-07,10.769
8.512599650140085e-07,10.77
8.316337683320924e-07,10.771
8.332653481702421e-07,10.772
8.592269900158892e-07,10.773
8.487003324714105e-07,10.774000000000001
8.37707401261451e-07,10.775
8.460379511983726e-07,10.776
8.189743916864798e-07,10.777000000000001
8.042021382392944e-07,10.778
7.873881078069382e-07,10.779
7.800748776048571e-07,10.78
7.922412339682211e-07,10.781
7.242154424652345e-07,10.782
7.433865303112303e-07,10.783
7.504937279396242e-07,10.784
7.633996798676621e-07,10.785
7.72834572430128e-07,10.786
6.87301646444161e-07,10.787
5.111481978843246e-07,10.788
5.217655068047347e-07,10.789
5.017044125502541e-07,10.790000000000001
4.709993770285026e-07,10.791
4.241097358505044e-07,10.792
4.1804794892883074e-07,10.793000000000001
4.258610471155342e-07,10.794
3.250680533947879e-07,10.795
3.073632119414565e-07,10.796
2.907214425158873e-07,10.797
2.318005592200329e-07,10.798
